199.47.82.21 - - "2023-05-25 01:01:17" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/84/60/228 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:17" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/85/61/229 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:18" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/86/62/230 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:18" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/87/63/231 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:20" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:21" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/issue/view/18 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:22" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/24/41/209 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:22" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/25/45/213 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:23" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/26/40/208 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:23" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/27/44/212 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:24" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/28/39/207 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:24" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/29/43/211 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:25" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/30/38/206 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:25" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/31/42/210 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:27" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/issue/view/9 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:28" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/index 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:28" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/43/19/186 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:29" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/44/16/183 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:29" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/45/18/185 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:30" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/46/15/182 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:30" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/47/17/184 200 "Turnitin (https://bit.ly/2UvnfoQ)"
199.47.82.21 - - "2023-05-25 01:01:31" http://jurnal.untag-banyuwangi.ac.id/index.php/wasbang/article/download/48/14/181 200 "Turnitin (https://bit.ly/2UvnfoQ)"
66.249.79.113 bot - "2023-05-25 01:15:53" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/24/41/209 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/113.0.5672.92 Safari/537.36"
66.249.79.22 bot - "2023-05-25 01:52:05" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.126 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
40.77.167.196 bot - "2023-05-25 02:03:26" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/view/38 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
103.83.97.61 - - "2023-05-25 02:39:10" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/view/84 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
103.83.97.61 - - "2023-05-25 02:40:45" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/download/84/60/228 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
103.83.97.61 - - "2023-05-25 02:50:51" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/article/view/84 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36"
40.77.167.115 bot - "2023-05-25 03:51:32" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/article/view/37 200 "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/103.0.5060.134 Safari/537.36"
66.249.79.115 bot - "2023-05-25 04:09:09" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/article/download/24/41/209 200 "Mozilla/5.0 (Linux; Android 6.0.1; Nexus 5X Build/MMB29P) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.5672.92 Mobile Safari/537.36 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.79.113 bot - "2023-05-25 04:16:18" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/article/download/36/1/76 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.241.46.213 - - "2023-05-25 04:20:52" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/view/10 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50"
180.241.46.213 - - "2023-05-25 04:20:59" http://jurnal.untag-banyuwangi.ac.id/index.php/josaf/article/download/10/9/176 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Safari/537.36 Edg/113.0.1774.50"
