173.231.60.198 bot - "2022-04-30 14:02:49" http://jurnal.untag-banyuwangi.ac.id/index.php/Literat/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:02:57" http://jurnal.untag-banyuwangi.ac.id/index.php/kartasis/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:18:25" http://jurnal.untag-banyuwangi.ac.id/index.php/Pancasila/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:19:04" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalamar/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:19:23" http://jurnal.untag-banyuwangi.ac.id/index.php/JurnalTeknik/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:34:47" http://jurnal.untag-banyuwangi.ac.id/index.php/EkonomiAnalisa/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:34:55" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalsangkala/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:35:03" http://jurnal.untag-banyuwangi.ac.id/index.php/Englishteaching/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 14:35:11" http://jurnal.untag-banyuwangi.ac.id/index.php/jurnalprogresif/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
173.231.60.198 bot - "2022-04-30 16:51:49" http://jurnal.untag-banyuwangi.ac.id/index.php/bioeducatiajournal/index 200 "Mozilla/5.0 (compatible; Adsbot/3.1; +https://seostar.co/robot/)"
